timestamp,ip,method,path,user_agent,response_time
2025-05-02T04:57:18.546306,218.248.0.1,GET,/blocked_ips,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",0.001476
2025-05-02T04:57:22.086591,218.248.0.1,GET,/logs,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Mobile Safari/537.36",0.002156
2025-05-02T04:57:22.593120,218.248.0.1,GET,/blocked_ips,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Mobile Safari/537.36",0.001276
2025-05-02T04:57:23.610502,218.248.0.1,GET,/logs,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Mobile Safari/537.36",0.002326
2025-05-02T04:57:23.633857,218.248.0.1,GET,/blocked_ips,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Mobile Safari/537.36",0.002644
2025-05-02T04:57:23.636510,218.248.0.1,GET,/logs,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Mobile Safari/537.36",0.003853
2025-05-02T04:57:28.560093,218.248.0.1,GET,/logs,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",0.002571
2025-05-02T04:57:28.564171,218.248.0.1,GET,/blocked_ips,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",0.001363
2025-05-02T04:57:38.549029,218.248.0.1,GET,/logs,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",0.002282
2025-05-02T04:57:38.552787,218.248.0.1,GET,/blocked_ips,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",0.001058
